Date,"Total Primary Energy Consumption, Monthly (Trillion Btu)"
1973-01-01,7226.265
1973-02-01,6594.709
1973-03-01,6524.198
1973-04-01,5944.336
1973-05-01,6074.551
1973-06-01,5805.318
1973-07-01,5954.498
1973-08-01,6194.365
1973-09-01,5776.048
1973-10-01,6177.455
1973-11-01,6521.876
1973-12-01,6889.701
1974-01-01,6906.707
1974-02-01,6316.938
1974-03-01,6373.851
1974-04-01,5863.745
1974-05-01,5867.145
1974-06-01,5644.753
1974-07-01,5988.038
1974-08-01,6018.263
1974-09-01,5713.814
1974-10-01,6184.96
1974-11-01,6238.457
1974-12-01,6845.56
1975-01-01,7059.014
1975-02-01,6171.542
1975-03-01,6386.257
1975-04-01,5800.645
1975-05-01,5494.457
1975-06-01,5438.115
1975-07-01,5671.861
1975-08-01,5747.213
1975-09-01,5501.291
1975-10-01,5911.74
1975-11-01,5853.242
1975-12-01,6929.591
1976-01-01,7315.131
1976-02-01,6396.086
1976-03-01,6394.82
1976-04-01,5858.227
1976-05-01,5796.389
1976-06-01,5827.441
1976-07-01,6027.641
1976-08-01,5973.736
1976-09-01,5742.648
1976-10-01,6247.77
1976-11-01,6732.906
1976-12-01,7661.524
1977-01-01,7855.623
1977-02-01,6657.899
1977-03-01,6577.61
1977-04-01,5983.088
1977-05-01,6000.884
1977-06-01,6089.198
1977-07-01,6199.376
1977-08-01,6304.07
1977-09-01,6083.524
1977-10-01,6276.021
1977-11-01,6488.691
1977-12-01,7445.772
1978-01-01,7724.961
1978-02-01,7055.634
1978-03-01,6969.369
1978-04-01,6173.557
1978-05-01,6341.706
1978-06-01,6152.956
1978-07-01,6343.727
1978-08-01,6499.555
1978-09-01,6091.208
1978-10-01,6428.593
1978-11-01,6689.161
1978-12-01,7479.492
1979-01-01,8096.05
1979-02-01,7413.492
1979-03-01,7155.015
1979-04-01,6291.051
1979-05-01,6351.355
1979-06-01,6146.792
1979-07-01,6280.572
1979-08-01,6496.817
1979-09-01,6056.294
1979-10-01,6546.994
1979-11-01,6682.793
1979-12-01,7341.604
1980-01-01,7569.338
1980-02-01,7127.106
1980-03-01,7025.383
1980-04-01,6162.598
1980-05-01,6011.371
1980-06-01,5875.872
1980-07-01,6138.724
1980-08-01,6066.541
1980-09-01,5974.226
1980-10-01,6320.64
1980-11-01,6424.042
1980-12-01,7367.613
1981-01-01,7643.376
1981-02-01,6488.579
1981-03-01,6610.567
1981-04-01,5879.369
1981-05-01,5943.749
1981-06-01,5999.608
1981-07-01,6212.381
1981-08-01,6116.564
1981-09-01,5824.826
1981-10-01,6147.633
1981-11-01,6142.499
1981-12-01,7092.463
1982-01-01,7452.645
1982-02-01,6475.473
1982-03-01,6548.462
1982-04-01,6044.908
1982-05-01,5607.074
1982-06-01,5577.011
1982-07-01,5840.514
1982-08-01,5822.744
1982-09-01,5553.562
1982-10-01,5730.544
1982-11-01,5983.05
1982-12-01,6463.441
1983-01-01,6912.467
1983-02-01,6069.952
1983-03-01,6436.333
1983-04-01,5873.836
1983-05-01,5697.525
1983-06-01,5682.518
1983-07-01,5946.682
1983-08-01,6133.137
1983-09-01,5704.341
1983-10-01,5705.57
1983-11-01,5940.081
1983-12-01,6868.125
1984-01-01,7659.216
1984-02-01,6628.326
1984-03-01,6863.942
1984-04-01,6275.386
1984-05-01,6176.19
1984-06-01,6031.41
1984-07-01,6160.819
1984-08-01,6328.067
1984-09-01,5766.025
1984-10-01,5965.862
1984-11-01,6104.652
1984-12-01,6671.81
1985-01-01,7382.202
1985-02-01,6884.675
1985-03-01,6582.706
1985-04-01,6110.942
1985-05-01,6010.09
1985-06-01,5885.315
1985-07-01,6191.778
1985-08-01,6262.2
1985-09-01,5763.682
1985-10-01,6031.312
1985-11-01,6063.41
1985-12-01,7224.067
1986-01-01,7399.658
1986-02-01,6624.247
1986-03-01,6780.17
1986-04-01,6113.781
1986-05-01,6103.287
1986-06-01,6019.767
1986-07-01,6358.024
1986-08-01,6227.713
1986-09-01,5822.464
1986-10-01,6043.899
1986-11-01,6122.967
1986-12-01,7031.035
1987-01-01,7476.45
1987-02-01,6732.162
1987-03-01,6770.707
1987-04-01,6317.775
1987-05-01,6203.087
1987-06-01,6283.858
1987-07-01,6630.484
1987-08-01,6518.294
1987-09-01,6127.542
1987-10-01,6366.409
1987-11-01,6346.123
1987-12-01,7281.541
1988-01-01,7804.136
1988-02-01,7311.849
1988-03-01,7300.926
1988-04-01,6453.888
1988-05-01,6394.683
1988-06-01,6511.855
1988-07-01,6750.241
1988-08-01,6992.534
1988-09-01,6344.903
1988-10-01,6591.078
1988-11-01,6708.19
1988-12-01,7544.911
1989-01-01,7643.419
1989-02-01,7233.498
1989-03-01,7545.703
1989-04-01,6664.216
1989-05-01,6639.14
1989-06-01,6697.346
1989-07-01,6859.659
1989-08-01,7031.494
1989-09-01,6484.541
1989-10-01,6794.031
1989-11-01,6943.56
1989-12-01,8248.724
1990-01-01,7812.967
1990-02-01,7007.056
1990-03-01,7309.418
1990-04-01,6771.439
1990-05-01,6750.376
1990-06-01,6759.777
1990-07-01,7036.447
1990-08-01,7283.532
1990-09-01,6618.049
1990-10-01,6812.414
1990-11-01,6776.438
1990-12-01,7546.645
1991-01-01,8078.661
1991-02-01,6866.738
1991-03-01,7144.066
1991-04-01,6540.723
1991-05-01,6659.213
1991-06-01,6702.509
1991-07-01,7102.868
1991-08-01,7117.701
1991-09-01,6662.225
1991-10-01,6862.825
1991-11-01,7011.114
1991-12-01,7688.591
1992-01-01,7988.956
1992-02-01,7247.705
1992-03-01,7353.583
1992-04-01,6845.997
1992-05-01,6702.403
1992-06-01,6719.321
1992-07-01,7164.272
1992-08-01,7033.411
1992-09-01,6686.894
1992-10-01,6906.882
1992-11-01,7083.547
1992-12-01,8049.21
1993-01-01,7912.456
1993-02-01,7424.598
1993-03-01,7816.592
1993-04-01,6907.476
1993-05-01,6650.483
1993-06-01,6847.311
1993-07-01,7313.062
1993-08-01,7337.386
1993-09-01,6819.004
1993-10-01,6988.178
1993-11-01,7285.727
1993-12-01,8022.313
1994-01-01,8589.797
1994-02-01,7746.401
1994-03-01,7668.421
1994-04-01,6983.321
1994-05-01,6890.507
1994-06-01,7166.432
1994-07-01,7395.024
1994-08-01,7477.23
1994-09-01,6886.16
1994-10-01,7075.223
1994-11-01,7152.79
1994-12-01,8008.857
1995-01-01,8226.193
1995-02-01,7600.222
1995-03-01,7746.0
1995-04-01,7110.691
1995-05-01,7155.399
1995-06-01,7235.883
1995-07-01,7630.432
1995-08-01,7922.336
1995-09-01,7140.889
1995-10-01,7229.695
1995-11-01,7577.392
1995-12-01,8415.663
1996-01-01,8781.981
1996-02-01,8109.506
1996-03-01,8197.535
1996-04-01,7367.168
1996-05-01,7467.868
1996-06-01,7450.954
1996-07-01,7763.058
1996-08-01,7874.803
1996-09-01,7151.97
1996-10-01,7622.8
1996-11-01,7801.33
1996-12-01,8411.304
1997-01-01,8829.387
1997-02-01,7792.359
1997-03-01,7990.105
1997-04-01,7528.444
1997-05-01,7481.764
1997-06-01,7470.765
1997-07-01,8096.186
1997-08-01,7914.987
1997-09-01,7417.608
1997-10-01,7682.068
1997-11-01,7754.95
1997-12-01,8612.464
1998-01-01,8613.349
1998-02-01,7650.204
1998-03-01,8174.686
1998-04-01,7515.048
1998-05-01,7579.487
1998-06-01,7719.457
1998-07-01,8280.961
1998-08-01,8230.509
1998-09-01,7619.267
1998-10-01,7613.624
1998-11-01,7511.035
1998-12-01,8473.946
1999-01-01,8916.761
1999-02-01,7813.917
1999-03-01,8374.956
1999-04-01,7661.381
1999-05-01,7627.869
1999-06-01,7809.606
1999-07-01,8374.699
1999-08-01,8382.839
1999-09-01,7616.185
1999-10-01,7719.808
1999-11-01,7639.148
1999-12-01,8677.385
2000-01-01,8952.552
2000-02-01,8408.733
2000-03-01,8299.973
2000-04-01,7675.241
2000-05-01,8031.61
2000-06-01,8008.679
2000-07-01,8236.269
2000-08-01,8548.824
2000-09-01,7698.591
2000-10-01,7766.954
2000-11-01,7945.917
2000-12-01,9202.865
2001-01-01,9232.643
2001-02-01,8076.539
2001-03-01,8478.752
2001-04-01,7644.096
2001-05-01,7634.33
2001-06-01,7657.916
2001-07-01,8149.902
2001-08-01,8309.177
2001-09-01,7406.407
2001-10-01,7723.42
2001-11-01,7550.214
2001-12-01,8265.421
2002-01-01,8797.524
2002-02-01,7862.335
2002-03-01,8366.013
2002-04-01,7763.628
2002-05-01,7805.742
2002-06-01,7895.25
2002-07-01,8431.411
2002-08-01,8351.015
2002-09-01,7666.385
2002-10-01,7807.859
2002-11-01,8019.291
2002-12-01,8838.275
2003-01-01,9240.026
2003-02-01,8436.902
2003-03-01,8388.085
2003-04-01,7672.871
2003-05-01,7668.133
2003-06-01,7646.582
2003-07-01,8276.555
2003-08-01,8396.654
2003-09-01,7611.482
2003-10-01,7787.892
2003-11-01,7840.971
2003-12-01,8931.788
2004-01-01,9356.761
2004-02-01,8739.588
2004-03-01,8436.524
2004-04-01,7798.772
2004-05-01,7972.415
2004-06-01,7987.726
2004-07-01,8411.707
2004-08-01,8360.387
2004-09-01,7836.495
2004-10-01,7954.67
2004-11-01,8056.203
2004-12-01,9161.792
2005-01-01,9293.633
2005-02-01,8289.366
2005-03-01,8732.272
2005-04-01,7720.125
2005-05-01,7944.425
2005-06-01,8177.87
2005-07-01,8587.417
2005-08-01,8694.069
2005-09-01,7792.931
2005-10-01,7786.96
2005-11-01,7944.982
2005-12-01,9203.614
2006-01-01,8821.064
2006-02-01,8196.243
2006-03-01,8590.968
2006-04-01,7715.794
2006-05-01,7962.577
2006-06-01,8151.424
2006-07-01,8638.191
2006-08-01,8737.089
2006-09-01,7791.252
2006-10-01,8025.711
2006-11-01,8034.39
2006-12-01,8799.524
2007-01-01,9224.099
2007-02-01,8756.146
2007-03-01,8560.962
2007-04-01,7922.601
2007-05-01,8020.219
2007-06-01,8096.704
2007-07-01,8489.769
2007-08-01,8819.221
2007-09-01,7940.003
2007-10-01,7971.07
2007-11-01,8081.343
2007-12-01,9088.554
2008-01-01,9416.811
2008-02-01,8655.698
2008-03-01,8591.288
2008-04-01,7838.339
2008-05-01,7897.137
2008-06-01,8043.044
2008-07-01,8418.132
2008-08-01,8217.76
2008-09-01,7352.76
2008-10-01,7784.983
2008-11-01,7810.301
2008-12-01,8798.701
2009-01-01,9132.892
2009-02-01,7877.464
2009-03-01,8053.429
2009-04-01,7344.836
2009-05-01,7291.033
2009-06-01,7540.794
2009-07-01,7819.433
2009-08-01,7967.259
2009-09-01,7275.728
2009-10-01,7477.653
2009-11-01,7452.965
2009-12-01,8844.724
2010-01-01,9121.89
2010-02-01,8204.549
2010-03-01,8192.466
2010-04-01,7361.076
2010-05-01,7667.622
2010-06-01,7999.252
2010-07-01,8371.194
2010-08-01,8434.888
2010-09-01,7685.307
2010-10-01,7496.765
2010-11-01,7786.653
2010-12-01,9222.291
2011-01-01,9290.094
2011-02-01,8100.186
2011-03-01,8334.016
2011-04-01,7494.053
2011-05-01,7574.279
2011-06-01,7888.75
2011-07-01,8379.823
2011-08-01,8403.739
2011-09-01,7558.026
2011-10-01,7573.961
2011-11-01,7785.453
2011-12-01,8577.674
2012-01-01,8675.881
2012-02-01,7965.14
2012-03-01,7679.563
2012-04-01,7220.91
2012-05-01,7613.83
2012-06-01,7735.767
2012-07-01,8295.7
2012-08-01,8233.164
2012-09-01,7371.496
2012-10-01,7575.059
2012-11-01,7769.379
2012-12-01,8395.913
2013-01-01,8987.891
2013-02-01,8020.339
2013-03-01,8387.226
2013-04-01,7527.478
2013-05-01,7624.542
2013-06-01,7729.694
2013-07-01,8278.524
2013-08-01,8177.588
2013-09-01,7646.976
2013-10-01,7729.789
2013-11-01,8139.385
2013-12-01,9084.557
2014-01-01,9597.476
2014-02-01,8435.055
2014-03-01,8532.832
2014-04-01,7563.754
2014-05-01,7654.965
2014-06-01,7787.279
2014-07-01,8240.025
2014-08-01,8222.075
2014-09-01,7662.252
2014-10-01,7773.04
2014-11-01,8208.219
2014-12-01,8810.438
2015-01-01,9292.748
2015-02-01,8612.522
2015-03-01,8435.164
2015-04-01,7471.053
2015-05-01,7652.129
2015-06-01,7909.442
2015-07-01,8438.055
2015-08-01,8321.835
2015-09-01,7694.434
2015-10-01,7625.323
2015-11-01,7684.262
2015-12-01,8379.018
2016-01-01,9059.96
2016-02-01,8233.758
2016-03-01,7988.318
2016-04-01,7453.868
2016-05-01,7589.128
2016-06-01,7940.306
2016-07-01,8479.555
2016-08-01,8547.841
2016-09-01,7756.993
2016-10-01,7659.346
2016-11-01,7724.267
2016-12-01,9090.311
2017-01-01,8980.434
2017-02-01,7622.006
2017-03-01,8433.752
2017-04-01,7457.019
2017-05-01,7809.195
2017-06-01,7973.908
2017-07-01,8441.678
2017-08-01,8307.883
2017-09-01,7636.766
2017-10-01,7845.024
2017-11-01,8135.75
2017-12-01,9236.555
2018-01-01,9655.467
2018-02-01,8075.048
2018-03-01,8684.524
2018-04-01,7885.539
2018-05-01,8021.157
2018-06-01,8149.256
2018-07-01,8606.516
2018-08-01,8707.549
2018-09-01,7870.618
